release_candidate_id,partition_strategy_version,partition_id,artifact_role,relative_path,artifact_id,schema_version,profile_count,provenance_link_count,file_size_bytes,sha256,generator_version,storage_reference_status,storage_reference,validation_status
PRC_5A13C5055A54AF794EDD0898,ENSEMBL_SHA256_PREFIX_2_V0.1,p95,PROVENANCE_LINKS,outputs/profile_release_candidate_v0.1/provenance/p95/profile_provenance_links.csv,ART_7E90BF870BA093EF7AAEF7A0,PROFILE_PROVENANCE_LINK_SCHEMA_V0.1,109,3815,2341200,9d4ef5eff5a92bbe238fef41fcb24f2d8a480075fe74be08e9909775475e3542,FULL_PROFILE_MATERIALIZER_V0.1,PENDING_EXTERNALIZATION,LOCAL_RELEASE_CANDIDATE_ONLY::outputs/profile_release_candidate_v0.1/provenance/p95/profile_provenance_links.csv,PASS
PRC_5A13C5055A54AF794EDD0898,ENSEMBL_SHA256_PREFIX_2_V0.1,p96,PROFILE_PAYLOAD,outputs/profile_release_candidate_v0.1/profiles/p96/profiles.jsonl,ART_68854E6D38C27E5C775FB37E,TARGET_EVIDENCE_PROFILE_FULL_SCHEMA_V0.1,106,0,2016636,970e1dec380e35543d21235171879e239e5806bc51e78c1ac0014fdaea0070e2,FULL_PROFILE_MATERIALIZER_V0.1,PENDING_EXTERNALIZATION,LOCAL_RELEASE_CANDIDATE_ONLY::outputs/profile_release_candidate_v0.1/profiles/p96/profiles.jsonl,PASS
PRC_5A13C5055A54AF794EDD0898,ENSEMBL_SHA256_PREFIX_2_V0.1,p96,PROVENANCE_LINKS,outputs/profile_release_candidate_v0.1/provenance/p96/profile_provenance_links.csv,ART_0E385BBFFCB6750273E10C20,PROFILE_PROVENANCE_LINK_SCHEMA_V0.1,106,3710,2275954,faa0093bc82c6fa0d6e9212958bc5104aec98f2a1a9bcdeefb2b468d28a4531f,FULL_PROFILE_MATERIALIZER_V0.1,PENDING_EXTERNALIZATION,LOCAL_RELEASE_CANDIDATE_ONLY::outputs/profile_release_candidate_v0.1/provenance/p96/profile_provenance_links.csv,PASS
PRC_5A13C5055A54AF794EDD0898,ENSEMBL_SHA256_PREFIX_2_V0.1,p97,PROFILE_PAYLOAD,outputs/profile_release_candidate_v0.1/profiles/p97/profiles.jsonl,ART_5FF5C80468F9497C07D7315A,TARGET_EVIDENCE_PROFILE_FULL_SCHEMA_V0.1,104,0,1978586,c3a0ee32e5a6dc29f638e848f1e69ce8be66d771e06bba5d647a413e63f8f630,FULL_PROFILE_MATERIALIZER_V0.1,PENDING_EXTERNALIZATION,LOCAL_RELEASE_CANDIDATE_ONLY::outputs/profile_release_candidate_v0.1/profiles/p97/profiles.jsonl,PASS
PRC_5A13C5055A54AF794EDD0898,ENSEMBL_SHA256_PREFIX_2_V0.1,p97,PROVENANCE_LINKS,outputs/profile_release_candidate_v0.1/provenance/p97/profile_provenance_links.csv,ART_2B865030D8767FB0561E6D08,PROFILE_PROVENANCE_LINK_SCHEMA_V0.1,104,3640,2233040,6e42dadf4890f1d657b79f57206efeac14c2229f913db29da181dcfb869c6e1d,FULL_PROFILE_MATERIALIZER_V0.1,PENDING_EXTERNALIZATION,LOCAL_RELEASE_CANDIDATE_ONLY::outputs/profile_release_candidate_v0.1/provenance/p97/profile_provenance_links.csv,PASS
PRC_5A13C5055A54AF794EDD0898,ENSEMBL_SHA256_PREFIX_2_V0.1,p98,PROFILE_PAYLOAD,outputs/profile_release_candidate_v0.1/profiles/p98/profiles.jsonl,ART_1B5FFE9EAA9EF7992152105E,TARGET_EVIDENCE_PROFILE_FULL_SCHEMA_V0.1,94,0,1788370,eb067bcab178c97f14572bc0795979c4faab7ba6412fa786194c41e34d0105b7,FULL_PROFILE_MATERIALIZER_V0.1,PENDING_EXTERNALIZATION,LOCAL_RELEASE_CANDIDATE_ONLY::outputs/profile_release_candidate_v0.1/profiles/p98/profiles.jsonl,PASS
PRC_5A13C5055A54AF794EDD0898,ENSEMBL_SHA256_PREFIX_2_V0.1,p98,PROVENANCE_LINKS,outputs/profile_release_candidate_v0.1/provenance/p98/profile_provenance_links.csv,ART_406D2FC2AAB15026F25B5B7F,PROFILE_PROVENANCE_LINK_SCHEMA_V0.1,94,3290,2018435,5b26470b065ab751eb7922864da2e1dc2ae3e38024abfc6ba98887f758e58b43,FULL_PROFILE_MATERIALIZER_V0.1,PENDING_EXTERNALIZATION,LOCAL_RELEASE_CANDIDATE_ONLY::outputs/profile_release_candidate_v0.1/provenance/p98/profile_provenance_links.csv,PASS
PRC_5A13C5055A54AF794EDD0898,ENSEMBL_SHA256_PREFIX_2_V0.1,p99,PROFILE_PAYLOAD,outputs/profile_release_candidate_v0.1/profiles/p99/profiles.jsonl,ART_1A32E17AA5ECCE3F1C632C46,TARGET_EVIDENCE_PROFILE_FULL_SCHEMA_V0.1,104,0,1978617,3fb03bc3d12c34271b2a4948a2a2bc92769f92bddb13bc250a68660a9a3d4283,FULL_PROFILE_MATERIALIZER_V0.1,PENDING_EXTERNALIZATION,LOCAL_RELEASE_CANDIDATE_ONLY::outputs/profile_release_candidate_v0.1/profiles/p99/profiles.jsonl,PASS
PRC_5A13C5055A54AF794EDD0898,ENSEMBL_SHA256_PREFIX_2_V0.1,p99,PROVENANCE_LINKS,outputs/profile_release_candidate_v0.1/provenance/p99/profile_provenance_links.csv,ART_7EFB418C0A74FB689C9A7171,PROFILE_PROVENANCE_LINK_SCHEMA_V0.1,104,3640,2233425,b7672befa89f6f42d66a4574229b60e254dedf32a80f39c27bd54c3efeaa0336,FULL_PROFILE_MATERIALIZER_V0.1,PENDING_EXTERNALIZATION,LOCAL_RELEASE_CANDIDATE_ONLY::outputs/profile_release_candidate_v0.1/provenance/p99/profile_provenance_links.csv,PASS
PRC_5A13C5055A54AF794EDD0898,ENSEMBL_SHA256_PREFIX_2_V0.1,p9a,PROFILE_PAYLOAD,outputs/profile_release_candidate_v0.1/profiles/p9a/profiles.jsonl,ART_C6EAB721990784C84E99A512,TARGET_EVIDENCE_PROFILE_FULL_SCHEMA_V0.1,115,0,2187905,4b549d398ec602831c4209d2ccd56215724bb74e30c0c8d03eca41d0d29cfe80,FULL_PROFILE_MATERIALIZER_V0.1,PENDING_EXTERNALIZATION,LOCAL_RELEASE_CANDIDATE_ONLY::outputs/profile_release_candidate_v0.1/profiles/p9a/profiles.jsonl,PASS
