"EnsemblID","Symbol","gene_type","logFC","AveExpr","t","P.Value","adj.P.Val","B","mean_logCPM_Tumor","mean_logCPM_Normal"
"ENSG00000172530.20","BANP","protein_coding",0.325067888569349,3.49314791535755,4.70330534132133,3.23189047812716e-06,7.59632815937064e-06,3.03148452106092,3.54334093095482,3.08665932377348
"ENSG00000238225.1","CRIP1P2","processed_pseudogene",-0.902101504912167,-3.0576742624883,-4.70279726623031,3.2396371524513e-06,7.61393169290094e-06,3.56053941769321,-2.75641788638589,-2.02147260672335
"ENSG00000254852.8","NPIPA2","protein_coding",-0.477467506072546,1.28880155082084,-4.70257624080882,3.24301272127112e-06,7.62126009096307e-06,3.2263397706349,1.29781029737629,1.37472923602077
"ENSG00000277947.1","SNORD3D","snoRNA",1.33536964601726,-1.67170037746917,4.7025451659737,3.24348757691524e-06,7.62177102961765e-06,3.47438511509393,-1.33967307775556,-2.54040548047241
"ENSG00000162441.11","LZIC","protein_coding",0.292832754269729,4.15039302718485,4.70242673403541,3.24529795262751e-06,7.62541993535636e-06,2.90876761003545,4.16419087361874,4.05018991389892
"ENSG00000241634.1","RP11-381E24.1","processed_pseudogene",0.87508833490748,-3.14435045586674,4.70221264540917,3.24857302308214e-06,7.63250955649311e-06,3.68184066076573,-2.71486156485986,-3.45452156351796
"ENSG00000259709.1","CTD-2184D3.7","antisense",0.399237815798345,-0.367966441548253,4.70217912509487,3.24908609557363e-06,7.63310926404959e-06,3.33166922378769,-0.292956748231632,-0.55150269383971
"ENSG00000257452.1","RP1-71H24.1","antisense",0.802340096800838,1.58928951296735,4.7018080218989,3.25477152760046e-06,7.64585938634763e-06,3.21286204213083,1.67885892943671,0.9607485185294
"ENSG00000274878.1","DLEU2_3","misc_RNA",0.687865268696508,-3.35842671163283,4.70156341326147,3.2585242484692e-06,7.65406766900819e-06,3.66782713465245,-2.92862829600428,-3.47765366223205
"ENSG00000273003.1","ARL2-SNX15","protein_coding",-0.260785466640868,5.290757713608,-4.70146732010294,3.25999962232778e-06,7.65692572936424e-06,2.77481606359948,5.25786067264857,5.58702404360907
"ENSG00000184925.11","LCN12","protein_coding",1.08185897023913,-0.192855653825249,4.70089922865579,3.26873499274749e-06,7.67683390411566e-06,3.39109114162384,0.0461829114850877,-1.61214168342344
"ENSG00000254236.1","KB-1639H6.2","antisense",0.495624514397697,-1.39155967027742,4.70062321347548,3.27298731558132e-06,7.68621103078453e-06,3.39267004937311,-1.25548247400179,-1.58159764562469
"ENSG00000134202.10","GSTM3","protein_coding",-0.764826352318575,4.07555418353249,-4.70019526953711,3.27959079072172e-06,7.70110762611891e-06,2.86296314194879,3.99588735393508,4.80083828696029
"ENSG00000224409.1","RP11-114B7.6","antisense",1.35793726922706,-5.10811724180512,4.69988125222927,3.28444444589012e-06,7.71189327187112e-06,3.86668193941775,-3.88459344666184,-4.77020634639298
"ENSG00000232060.3","SLC4A1APP1","processed_pseudogene",0.279928421232979,1.92730204081502,4.69960456600501,3.28872681167775e-06,7.72133592280186e-06,3.1567034286287,1.9622188226929,1.71516916712348
"ENSG00000141295.13","SCRN2","protein_coding",-0.424398134422803,4.3805703334454,-4.69906174824763,3.29714378971874e-06,7.74048362845239e-06,2.87106649460834,4.35968666062011,4.58153213816007
"ENSG00000261231.6","LINC02133","lincRNA",1.55326435467713,-4.45574643909323,4.69859554354221,3.30438933191677e-06,7.7568784142664e-06,3.81523325066442,-3.45697673341576,-4.59507995343486
"ENSG00000232456.1","RP11-5P18.10","unprocessed_pseudogene",1.25091299087135,-4.78498947987444,4.69855793934003,3.30497442622217e-06,7.75763679241525e-06,3.84035016405505,-3.75250498391811,-4.60133885475556
"ENSG00000263142.5","LRRC37A17P","transcribed_unprocessed_pseudogene",-0.402490620296264,2.43904998153626,-4.6983310516924,3.30850674909699e-06,7.76531241586852e-06,3.08078141387624,2.41059187217644,2.75704951237249
"ENSG00000228300.13","C19orf24","protein_coding",0.430333733241762,4.56660294328427,4.69708185208841,3.3280201507789e-06,7.81049263447959e-06,2.87132089488104,4.61991033025244,4.11746983259126
"ENSG00000092108.20","SCFD1","protein_coding",0.326100923672626,5.48317241719966,4.69678574537054,3.33266175145899e-06,7.82076599664671e-06,2.76454592961198,5.51394658681839,5.22259637327997
"ENSG00000100266.18","PACSIN2","protein_coding",-0.381429754747527,6.70177265922644,-4.69581059089775,3.34799176697805e-06,7.85611827321488e-06,2.72160222675079,6.67027159795799,6.98030244390198
"ENSG00000083457.11","ITGAE","protein_coding",-0.469515341349132,3.95656950293639,-4.69475216325396,3.36470762328531e-06,7.89471658701735e-06,2.8901607752294,3.90549405543198,4.42709645911267
"ENSG00000248265.1","FLJ12825","lincRNA",1.12458035371501,-2.18216176752584,4.69449949709509,3.36870985510536e-06,7.90348078058874e-06,3.57834388570322,-1.80294986022003,-3.13623151740029
"ENSG00000240553.1","RP1-184J9.2","antisense",-0.505267939603553,-0.0384197346315931,-4.69433645067126,3.37129493999011e-06,7.90891901690549e-06,3.24255048365403,-0.0628642410883201,0.588582360663273
"ENSG00000281808.1","SNORA17","snoRNA",0.693497663531219,-2.39552156268047,4.69372950646557,3.38093475697789e-06,7.93090519095851e-06,3.56371725438059,-2.07555166446943,-3.07137832725178
"ENSG00000168228.14","ZCCHC4","protein_coding",0.317863797274453,3.07100174174399,4.693116349593,3.39070015657642e-06,7.95318244617348e-06,3.02226533153016,3.10947028938155,2.77756973951861
"ENSG00000133678.13","TMEM254","protein_coding",0.413584654031013,4.76413852944479,4.69272723548964,3.39691141566835e-06,7.9671202861663e-06,2.8187096079216,4.80929192548559,4.38357396528147
"ENSG00000237950.1","RP11-7O11.3","antisense",0.676878226382002,-2.37753085738951,4.6926968998831,3.39739610919257e-06,7.96762588789252e-06,3.52401187969191,-2.09790938873679,-2.81245691950936
"ENSG00000259774.1","RP11-182J1.13","lincRNA",-0.847939874728811,-3.39992430610879,-4.6921510850303,3.40612835116219e-06,7.98747215560457e-06,3.5654088890915,-3.01111682608392,-2.59584163871113
"ENSG00000174842.16","GLMN","protein_coding",0.425229233925179,2.40460338536884,4.69210546156785,3.40685923658495e-06,7.98855334692966e-06,3.09158478069325,2.44937897245837,2.08354896623666
"ENSG00000125901.5","MRPS26","protein_coding",0.495620804268273,4.96154404086443,4.69131703715534,3.41951359877271e-06,8.01759084543161e-06,2.81163628514588,5.02801007132431,4.3937566956235
"ENSG00000244668.1","SNRPCP3","processed_pseudogene",-0.711151707069878,-2.71379494854654,-4.69094740492101,3.42546181576199e-06,8.0309013713533e-06,3.48771422916358,-2.50945508950263,-1.93474291047738
