EnsemblID,EnsemblID_base,Symbol,gene_type,U2_effect_supported_DE,OpenTargets_target_ID,tractability_retrieval_status,tractability_record_count,tractability_true_assessment_count,tractability_true_SM_count,tractability_true_AB_count,tractability_true_PR_count,tractability_true_OC_count,tractability_true_assessment_ids_by_modality_json,safety_retrieval_status,safety_liability_record_count,source_name,source_release
ENSG00000233056.2,ENSG00000233056,ERVH48-1,lincRNA,FALSE,ENSG00000233056,TRACTABILITY_RECORD_PRESENT,28,4,1,3,0,0,"{""AB"":[""GO CC high conf"",""UniProt SigP or TMHMM"",""UniProt loc high conf""],""SM"":[""Structure with Ligand""]}",TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000256060.2,ENSG00000256060,TRAPPC2B,protein_coding,FALSE,ENSG00000256060,TRACTABILITY_RECORD_PRESENT,28,1,0,0,1,0,"{""PR"":[""Database Ubiquitination""]}",TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000133136.4,ENSG00000133136,GNG5P2,processed_pseudogene,FALSE,ENSG00000133136,TARGET_PRESENT_NO_TRACTABILITY_RECORD_RETURNED,0,0,0,0,0,0,{},TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000260062.3,ENSG00000260062,GOLGA2P11,transcribed_unprocessed_pseudogene,FALSE,ENSG00000260062,TARGET_PRESENT_NO_TRACTABILITY_RECORD_RETURNED,0,0,0,0,0,0,{},TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000270025.2,ENSG00000270025,BMS1P7,transcribed_unprocessed_pseudogene,FALSE,ENSG00000270025,TARGET_PRESENT_NO_TRACTABILITY_RECORD_RETURNED,0,0,0,0,0,0,{},TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000152894.14,ENSG00000152894,PTPRK,protein_coding,FALSE,ENSG00000152894,TRACTABILITY_RECORD_PRESENT,28,7,1,4,2,0,"{""AB"":[""GO CC high conf"",""Human Protein Atlas loc"",""UniProt SigP or TMHMM"",""UniProt loc med conf""],""PR"":[""Database Ubiquitination"",""Half-life Data""],""SM"":[""Med-Quality Pocket""]}",TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000198246.7,ENSG00000198246,SLC29A3,protein_coding,FALSE,ENSG00000198246,TRACTABILITY_RECORD_PRESENT,28,5,1,3,1,0,"{""AB"":[""GO CC med conf"",""UniProt SigP or TMHMM"",""UniProt loc high conf""],""PR"":[""Half-life Data""],""SM"":[""Druggable Family""]}",TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000182473.21,ENSG00000182473,EXOC7,protein_coding,FALSE,ENSG00000182473,TRACTABILITY_RECORD_PRESENT,28,6,0,4,2,0,"{""AB"":[""GO CC high conf"",""Human Protein Atlas loc"",""UniProt loc high conf"",""UniProt loc med conf""],""PR"":[""Database Ubiquitination"",""Half-life Data""]}",TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000138138.13,ENSG00000138138,ATAD1,protein_coding,FALSE,ENSG00000138138,TRACTABILITY_RECORD_PRESENT,28,6,1,3,2,0,"{""AB"":[""GO CC med conf"",""UniProt SigP or TMHMM"",""UniProt loc med conf""],""PR"":[""Database Ubiquitination"",""Half-life Data""],""SM"":[""Structure with Ligand""]}",TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000080603.16,ENSG00000080603,SRCAP,protein_coding,FALSE,ENSG00000080603,TRACTABILITY_RECORD_PRESENT,28,3,1,0,2,0,"{""PR"":[""Database Ubiquitination"",""Half-life Data""],""SM"":[""Structure with Ligand""]}",TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000232901.1,ENSG00000232901,CYCSP10,processed_pseudogene,FALSE,ENSG00000232901,TARGET_PRESENT_NO_TRACTABILITY_RECORD_RETURNED,0,0,0,0,0,0,{},TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000122068.12,ENSG00000122068,FYTTD1,protein_coding,FALSE,ENSG00000122068,TRACTABILITY_RECORD_PRESENT,28,3,0,0,3,0,"{""PR"":[""Database Ubiquitination"",""Half-life Data"",""UniProt Ubiquitination""]}",TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000256928.1,ENSG00000256928,RP11-809N8.2,antisense,FALSE,ENSG00000256928,TARGET_PRESENT_NO_TRACTABILITY_RECORD_RETURNED,0,0,0,0,0,0,{},TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000226439.3,ENSG00000226439,RP11-621K7.1,processed_pseudogene,FALSE,ENSG00000226439,TARGET_PRESENT_NO_TRACTABILITY_RECORD_RETURNED,0,0,0,0,0,0,{},TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000100596.6,ENSG00000100596,SPTLC2,protein_coding,FALSE,ENSG00000100596,TRACTABILITY_RECORD_PRESENT,28,7,2,2,3,0,"{""AB"":[""Human Protein Atlas loc"",""UniProt SigP or TMHMM""],""PR"":[""Database Ubiquitination"",""Half-life Data"",""Small Molecule Binder""],""SM"":[""High-Quality Ligand"",""Structure with Ligand""]}",TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000065609.14,ENSG00000065609,SNAP91,protein_coding,FALSE,ENSG00000065609,TRACTABILITY_RECORD_PRESENT,28,3,0,2,1,0,"{""AB"":[""GO CC med conf"",""UniProt loc med conf""],""PR"":[""Half-life Data""]}",TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000136754.16,ENSG00000136754,ABI1,protein_coding,FALSE,ENSG00000136754,TRACTABILITY_RECORD_PRESENT,28,3,0,1,2,0,"{""AB"":[""Human Protein Atlas loc""],""PR"":[""Database Ubiquitination"",""Half-life Data""]}",TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000113763.10,ENSG00000113763,UNC5A,protein_coding,FALSE,ENSG00000113763,TRACTABILITY_RECORD_PRESENT,28,5,0,4,1,0,"{""AB"":[""GO CC high conf"",""Human Protein Atlas loc"",""UniProt SigP or TMHMM"",""UniProt loc med conf""],""PR"":[""Half-life Data""]}",TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000269925.1,ENSG00000269925,RP3-467L1.6,sense_intronic,FALSE,ENSG00000269925,TARGET_PRESENT_NO_TRACTABILITY_RECORD_RETURNED,0,0,0,0,0,0,{},TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000125430.8,ENSG00000125430,HS3ST3B1,protein_coding,FALSE,ENSG00000125430,TRACTABILITY_RECORD_PRESENT,28,2,0,2,0,0,"{""AB"":[""GO CC high conf"",""UniProt SigP or TMHMM""]}",TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000164761.8,ENSG00000164761,TNFRSF11B,protein_coding,FALSE,ENSG00000164761,TRACTABILITY_RECORD_PRESENT,28,3,0,3,0,0,"{""AB"":[""GO CC high conf"",""UniProt SigP or TMHMM"",""UniProt loc med conf""]}",SAFETY_RECORD_PRESENT,1,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000179833.4,ENSG00000179833,SERTAD2,protein_coding,FALSE,ENSG00000179833,TRACTABILITY_RECORD_PRESENT,28,1,0,0,1,0,"{""PR"":[""UniProt Ubiquitination""]}",TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000198569.9,ENSG00000198569,SLC34A3,protein_coding,FALSE,ENSG00000198569,TRACTABILITY_RECORD_PRESENT,28,4,0,3,1,0,"{""AB"":[""GO CC high conf"",""UniProt SigP or TMHMM"",""UniProt loc med conf""],""PR"":[""Small Molecule Binder""]}",TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000189195.11,ENSG00000189195,BTBD8,protein_coding,FALSE,ENSG00000189195,TRACTABILITY_RECORD_PRESENT,28,0,0,0,0,0,{},TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000253348.1,ENSG00000253348,CTC-455F18.1,antisense,FALSE,ENSG00000253348,TARGET_PRESENT_NO_TRACTABILITY_RECORD_RETURNED,0,0,0,0,0,0,{},TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000279901.1,ENSG00000279901,CTD-2270P14.2,TEC,FALSE,ENSG00000279901,TARGET_PRESENT_NO_TRACTABILITY_RECORD_RETURNED,0,0,0,0,0,0,{},TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000116691.10,ENSG00000116691,MIIP,protein_coding,FALSE,ENSG00000116691,TRACTABILITY_RECORD_PRESENT,28,1,0,0,1,0,"{""PR"":[""Database Ubiquitination""]}",TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000235576.1,ENSG00000235576,LINC01871,lincRNA,FALSE,ENSG00000235576,TARGET_PRESENT_NO_TRACTABILITY_RECORD_RETURNED,0,0,0,0,0,0,{},TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000266441.1,ENSG00000266441,RP11-91I8.3,antisense,FALSE,ENSG00000266441,TARGET_PRESENT_NO_TRACTABILITY_RECORD_RETURNED,0,0,0,0,0,0,{},TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000249684.5,ENSG00000249684,RP11-423H2.3,antisense,FALSE,NOT_FOUND,TARGET_NOT_MAPPED,0,0,0,0,0,0,{},TARGET_NOT_MAPPED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
ENSG00000273036.2,ENSG00000273036,FAM95C,lincRNA,FALSE,ENSG00000273036,TARGET_PRESENT_NO_TRACTABILITY_RECORD_RETURNED,0,0,0,0,0,0,{},TARGET_PRESENT_NO_SAFETY_RECORD_RETURNED,0,OPEN_TARGETS_PLATFORM_GRAPHQL,26.06
