external_provenance_link_id,external_evidence_id,EnsemblID,publication_id,PMID,PMCID,DOI,source_location,dataset_or_cohort,model_system,raw_payload_path,raw_payload_sha256,source_entity,identifier_reconciliation,provenance_status
EXTPROV_0048C28D47B777F51BC6,EXT_17310584_01,ENSG00000099953.9,PUB_PMID_17310584,17310584,NOT_AVAILABLE,NOT_AVAILABLE,Abstract,COHORT_2007_NSCLC_80,80 resected stage-I NSCLC cases,outputs/mmp11_external_evidence_v0.1/raw_retrieval/pubmed_screened_records.xml,4735783f3b5e6b990fd8d1069854642ab14d5c160f923caec47930f582e991a0,PUBMED_PRIMARY_PUBLICATION,ENSG00000099953.9|MMP11|PubMed:17310584,COMPLETE_PRIMARY_SOURCE_TRACE
EXTPROV_4A81B19FB319A5A561A3,EXT_14647437_01,ENSG00000099953.9,PUB_PMID_14647437,14647437,NOT_AVAILABLE,10.1038/sj.onc.1207140,Abstract/Results,COHORT_2004_STAGEIB_20,20 stage-IB lung cancers,outputs/mmp11_external_evidence_v0.1/raw_retrieval/pubmed_screened_records.xml,4735783f3b5e6b990fd8d1069854642ab14d5c160f923caec47930f582e991a0,PUBMED_PRIMARY_PUBLICATION,ENSG00000099953.9|MMP11|PubMed:14647437,COMPLETE_PRIMARY_SOURCE_TRACE
EXTPROV_D9A1E28EFCE2E658C397,EXT_15036884_01,ENSG00000099953.9,PUB_PMID_15036884,15036884,NOT_AVAILABLE,10.1016/S0165-4608(03)00300-5,Results,COHORT_2004_ADC_SCC_26,Human adenocarcinoma and squamous tissue,outputs/mmp11_external_evidence_v0.1/raw_retrieval/pubmed_screened_records.xml,4735783f3b5e6b990fd8d1069854642ab14d5c160f923caec47930f582e991a0,PUBMED_PRIMARY_PUBLICATION,ENSG00000099953.9|MMP11|PubMed:15036884,COMPLETE_PRIMARY_SOURCE_TRACE
EXTPROV_3CDED3E2DA6D39F641B7,EXT_18793406_01,ENSG00000099953.9,PUB_PMID_18793406,18793406,PMC2556648,10.1186/1756-9966-27-38,Table 2/Results,COHORT_2008_NSCLC_64,Stage I/II NSCLC,outputs/mmp11_external_evidence_v0.1/raw_retrieval/pubmed_screened_records.xml,4735783f3b5e6b990fd8d1069854642ab14d5c160f923caec47930f582e991a0,PUBMED_PRIMARY_PUBLICATION,ENSG00000099953.9|MMP11|PubMed:18793406,COMPLETE_PRIMARY_SOURCE_TRACE
EXTPROV_7F118DA04E3B57EC42BD,EXT_9417124_01,ENSG00000099953.9,PUB_PMID_9417124,9417124,NOT_AVAILABLE,10.1074/jbc.273.1.618,Abstract/Results,MODEL_1998_COCULTURE,NSCLC–normal pulmonary fibroblast co-culture,outputs/mmp11_external_evidence_v0.1/raw_retrieval/pubmed_screened_records.xml,4735783f3b5e6b990fd8d1069854642ab14d5c160f923caec47930f582e991a0,PUBMED_PRIMARY_PUBLICATION,ENSG00000099953.9|MMP11|PubMed:9417124,COMPLETE_PRIMARY_SOURCE_TRACE
EXTPROV_3D2A26F788D690159A55,EXT_15509588_01,ENSG00000099953.9,PUB_PMID_15509588,15509588,NOT_AVAILABLE,10.1074/jbc.M405482200,Abstract/Results,MODEL_2005_COCULTURE,NSCLC–pulmonary fibroblast co-culture,outputs/mmp11_external_evidence_v0.1/raw_retrieval/pubmed_screened_records.xml,4735783f3b5e6b990fd8d1069854642ab14d5c160f923caec47930f582e991a0,PUBMED_PRIMARY_PUBLICATION,ENSG00000099953.9|MMP11|PubMed:15509588,COMPLETE_PRIMARY_SOURCE_TRACE
EXTPROV_DCD52833D4491BD10688,EXT_15536641_01,ENSG00000099953.9,PUB_PMID_15536641,15536641,NOT_AVAILABLE,10.1002/mc.20063,Results,MODEL_BTRCP_LUNG,Lung-cancer cell lines,outputs/mmp11_external_evidence_v0.1/raw_retrieval/pubmed_screened_records.xml,4735783f3b5e6b990fd8d1069854642ab14d5c160f923caec47930f582e991a0,PUBMED_PRIMARY_PUBLICATION,ENSG00000099953.9|MMP11|PubMed:15536641,COMPLETE_PRIMARY_SOURCE_TRACE
EXTPROV_532C7B93787F0841CBE8,EXT_19949890_01,ENSG00000099953.9,PUB_PMID_19949890,19949890,NOT_AVAILABLE,10.1007/s12013-009-9071-6,Abstract/Results,DATASET_2010_UNRESOLVED,LUAD vs adjacent-normal expression,outputs/mmp11_external_evidence_v0.1/raw_retrieval/pubmed_screened_records.xml,4735783f3b5e6b990fd8d1069854642ab14d5c160f923caec47930f582e991a0,PUBMED_PRIMARY_PUBLICATION,ENSG00000099953.9|MMP11|PubMed:19949890,COMPLETE_PRIMARY_SOURCE_TRACE
EXTPROV_B828C75855B6DC2E919E,EXT_23659968_01,ENSG00000099953.9,PUB_PMID_23659968,23659968,PMC3846434,10.1158/1078-0432.CCR-13-0341,GEO GSE43458 and linked publication,GSE43458,Human LUAD/normal tissue,outputs/mmp11_external_evidence_v0.1/raw_retrieval/pubmed_screened_records.xml,4735783f3b5e6b990fd8d1069854642ab14d5c160f923caec47930f582e991a0,PUBMED_PRIMARY_PUBLICATION,ENSG00000099953.9|MMP11|PubMed:23659968,COMPLETE_PRIMARY_SOURCE_TRACE
EXTPROV_21F604E214119170F723,EXT_15653641_01,ENSG00000099953.9,PUB_PMID_15653641,15653641,PMC546166,10.1093/nar/gki188,Publication and Expression Atlas accession,E-MEXP-231,Human LUAD/normal tissue,outputs/mmp11_external_evidence_v0.1/raw_retrieval/pubmed_screened_records.xml,4735783f3b5e6b990fd8d1069854642ab14d5c160f923caec47930f582e991a0,PUBMED_PRIMARY_PUBLICATION,ENSG00000099953.9|MMP11|PubMed:15653641,COMPLETE_PRIMARY_SOURCE_TRACE
EXTPROV_C2BC8F72C882F9B22B77,EXT_25141350_01,ENSG00000099953.9,PUB_PMID_25141350,25141350,PMC4139381,10.1371/journal.pone.0105639,GEO GSE43767 and linked publication,GSE43767,Human lung/LUAD developmental context,outputs/mmp11_external_evidence_v0.1/raw_retrieval/pubmed_screened_records.xml,4735783f3b5e6b990fd8d1069854642ab14d5c160f923caec47930f582e991a0,PUBMED_PRIMARY_PUBLICATION,ENSG00000099953.9|MMP11|PubMed:25141350,COMPLETE_PRIMARY_SOURCE_TRACE
